customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Churn_num,TechSupport_num,Faixa_Charges,Faixa_Total
0023uyupn,0.0,female,1,1,0,50,1,1,no,No internet service,0,0,0,0,0,one year,0,electronic check,25.2,1306.3,,,Baixa,Média
0023xuopt,1.0,female,0,1,0,13,1,1,fiber optic,No,1,1,0,1,0,month to month,0,electronic check,94.1,1215.6,,,Alta,Média
0027kwykw,0.0,female,0,1,1,23,1,1,fiber optic,No,0,0,0,1,0,month to month,1,electronic check,83.75,1849.95,,,Alta,Média
0030fnxpp,0.0,female,0,0,0,3,1,0,no,No internet service,0,0,0,0,0,month to month,0,mailed check,19.85,57.2,,,Baixa,Baixa
0031pvlzi,1.0,female,0,1,1,4,1,0,no,No internet service,0,0,0,0,0,month to month,0,mailed check,20.35,76.35,,,Baixa,Baixa
0032pgels,1.0,female,0,1,1,1,0,0,dsl,Yes,0,0,0,0,0,month to month,0,bank transfer (automatic),30.5,30.5,,,Baixa,Baixa
0036ihmot,0.0,female,0,1,1,55,1,0,fiber optic,No,1,1,1,1,1,one year,1,bank transfer (automatic),103.7,5656.75,,,Alta,Alta
0040halcw,0.0,male,0,1,1,54,1,0,no,No internet service,0,0,0,0,0,two year,0,credit card (automatic),20.4,1090.6,,,Baixa,Média
0042jvwoj,0.0,male,0,0,0,26,1,0,no,No internet service,0,0,0,0,0,one year,1,bank transfer (automatic),19.6,471.85,,,Baixa,Baixa
0042rlhyp,0.0,female,0,1,1,69,1,0,no,No internet service,0,0,0,0,0,two year,0,bank transfer (automatic),19.7,1396.9,,,Baixa,Média
0047zhdtw,,female,0,0,0,11,1,1,fiber optic,Yes,0,0,0,0,0,month to month,1,bank transfer (automatic),79.0,929.3,,,Média,Baixa
0048lumls,0.0,male,0,1,1,37,1,0,fiber optic,No,0,0,0,1,1,one year,0,credit card (automatic),91.2,3247.55,,,Alta,Alta
0048pihnl,0.0,female,0,1,0,49,1,0,no,No internet service,0,0,0,0,0,one year,0,bank transfer (automatic),20.45,900.9,,,Baixa,Baixa
0052dckon,0.0,male,0,1,0,66,1,1,fiber optic,Yes,1,1,1,1,1,one year,0,bank transfer (automatic),115.8,7942.15,,,Alta,Alta
0052ynyot,0.0,female,0,0,0,67,1,0,no,No internet service,0,0,0,0,0,one year,0,electronic check,20.55,1343.4,,,Baixa,Média
0056epfbg,0.0,male,0,1,1,20,0,0,dsl,Yes,0,1,1,0,0,two year,1,credit card (automatic),39.4,825.4,,,Baixa,Baixa
0057qbuqh,0.0,female,0,0,1,43,1,1,no,No internet service,0,0,0,0,0,two year,1,electronic check,25.1,1070.15,,,Baixa,Média
0058evzwm,0.0,female,0,1,0,55,1,1,fiber optic,Yes,0,0,0,1,0,month to month,1,bank transfer (automatic),89.8,4959.6,,,Alta,Alta
0060fualy,0.0,female,0,1,0,59,1,1,fiber optic,Yes,1,0,0,1,0,month to month,1,electronic check,94.75,5597.65,,,Alta,Alta
0064sudog,0.0,female,0,1,1,12,1,0,no,No internet service,0,0,0,0,0,two year,0,bank transfer (automatic),20.3,224.5,,,Baixa,Baixa
0064yijgf,0.0,male,0,1,1,27,1,1,fiber optic,No,0,0,0,0,0,month to month,1,bank transfer (automatic),75.75,1929.0,,,Média,Média
0067dkwbl,1.0,male,1,0,0,2,1,0,dsl,Yes,0,0,0,0,0,month to month,1,electronic check,49.25,91.1,,,Média,Baixa
0068figtf,0.0,female,0,0,0,27,1,0,dsl,No,1,1,1,1,1,one year,0,mailed check,78.2,2078.95,,,Média,Alta
0071ndafp,0.0,male,0,1,1,25,1,1,no,No internet service,0,0,0,0,0,two year,0,credit card (automatic),25.5,630.6,,,Baixa,Baixa
0074hdkdg,0.0,male,0,1,1,25,1,0,dsl,Yes,1,1,0,0,0,one year,1,bank transfer (automatic),61.6,1611.0,,,Média,Média
0076lveps,0.0,male,0,0,1,29,0,0,dsl,Yes,1,1,1,0,0,month to month,1,mailed check,45.0,1242.45,,,Média,Média
0078xzmht,0.0,male,0,1,0,72,1,1,dsl,No,1,1,1,1,1,two year,1,bank transfer (automatic),85.15,6316.2,,,Alta,Alta
0080emyvy,0.0,female,0,0,0,14,1,0,dsl,No,1,0,0,0,0,one year,0,credit card (automatic),51.45,727.85,,,Média,Baixa
0080orozo,0.0,female,0,0,0,35,1,0,fiber optic,No,0,1,1,1,1,one year,1,electronic check,99.25,3532.0,,,Alta,Alta
0082ldzue,0.0,male,0,0,0,1,1,0,dsl,No,0,0,0,0,0,month to month,1,mailed check,44.3,44.3,,,Média,Baixa
0082oqiqy,0.0,male,0,0,0,29,1,0,fiber optic,No,0,0,1,1,1,month to month,1,electronic check,94.2,2607.6,,,Alta,Alta
0083pivik,0.0,male,0,0,0,64,1,1,dsl,Yes,1,1,1,1,0,one year,0,electronic check,81.25,5567.55,,,Alta,Alta
0089iiqko,0.0,female,0,1,1,39,1,1,fiber optic,No,0,0,1,1,1,month to month,1,credit card (automatic),99.95,3767.4,,,Alta,Alta
0093exyql,0.0,female,1,0,0,40,1,0,fiber optic,No,0,0,0,1,1,month to month,1,electronic check,91.55,3673.6,,,Alta,Alta
0093xwzfy,1.0,male,0,0,0,40,1,1,fiber optic,No,1,1,0,1,1,month to month,1,credit card (automatic),104.5,4036.85,,,Alta,Alta
0094oifmo,1.0,female,1,0,0,11,1,0,fiber optic,No,1,0,0,1,1,month to month,1,electronic check,95.0,1120.3,,,Alta,Média
0096bxers,0.0,female,0,1,0,6,1,1,dsl,No,0,0,0,0,0,month to month,0,electronic check,50.35,314.55,,,Média,Baixa
0096fcpuf,0.0,male,0,0,0,30,1,1,dsl,Yes,0,0,0,0,1,month to month,1,mailed check,64.5,1888.45,,,Média,Média
0098bowso,0.0,male,0,0,0,27,1,0,no,No internet service,0,0,0,0,0,month to month,1,electronic check,19.4,529.8,,,Baixa,Baixa
0100duvfc,0.0,male,1,1,0,70,1,1,fiber optic,No,1,1,0,1,1,one year,1,electronic check,104.8,7308.95,,,Alta,Alta
0103csitq,0.0,female,0,1,0,57,1,1,fiber optic,No,1,1,1,1,1,one year,1,bank transfer (automatic),109.4,6252.7,,,Alta,Alta
0104ppxdv,0.0,male,0,1,0,58,1,0,dsl,No,0,1,0,0,0,one year,0,credit card (automatic),50.3,2878.55,,,Média,Alta
0106ghrqr,0.0,male,0,0,0,16,1,1,dsl,No,1,1,0,0,1,month to month,1,bank transfer (automatic),71.4,1212.1,,,Média,Média
0106ugrdo,0.0,female,0,1,0,69,1,1,fiber optic,Yes,1,1,1,1,1,two year,1,electronic check,116.0,8182.85,,,Alta,Alta
0107weslm,1.0,male,0,0,0,1,1,0,no,No internet service,0,0,0,0,0,month to month,1,electronic check,19.85,19.85,,,Baixa,Baixa
0107yhina,1.0,male,0,0,1,1,1,1,fiber optic,No,0,1,0,1,1,month to month,1,electronic check,99.75,99.75,,,Alta,Baixa
0111klbqg,0.0,male,1,1,1,32,1,0,fiber optic,No,1,0,0,1,1,month to month,1,mailed check,93.95,2861.45,,,Alta,Alta
0112qawrz,0.0,male,0,1,1,16,1,1,fiber optic,No,0,1,0,1,0,month to month,1,bank transfer (automatic),90.8,1442.2,,,Alta,Média
0112qwpnc,1.0,male,0,1,0,49,1,1,dsl,Yes,0,1,1,1,1,one year,0,electronic check,84.35,4059.35,,,Alta,Alta
0114igabw,0.0,female,0,1,0,71,0,0,dsl,No,1,1,1,1,1,two year,0,bank transfer (automatic),58.25,4145.9,,,Média,Alta
0114pegzz,0.0,female,0,0,0,33,1,1,fiber optic,No,1,1,0,1,1,month to month,0,electronic check,107.55,3645.5,,,Alta,Alta
0114rsrrw,0.0,female,0,1,0,10,1,0,no,No internet service,0,0,0,0,0,month to month,1,bank transfer (automatic),19.95,187.75,,,Baixa,Baixa
0115tfert,1.0,male,0,1,0,21,1,1,fiber optic,No,1,1,1,1,1,month to month,1,electronic check,111.2,2317.1,,,Alta,Alta
0117lfrmw,1.0,male,0,1,1,37,0,0,dsl,Yes,1,1,0,0,0,month to month,0,bank transfer (automatic),40.2,1448.8,,,Média,Média
0118jpnoy,0.0,female,1,0,0,26,1,0,fiber optic,Yes,0,0,0,1,0,month to month,1,credit card (automatic),85.8,2193.65,,,Alta,Alta
0120yzlqa,,male,0,0,0,71,1,0,no,No internet service,0,0,0,0,0,two year,1,credit card (automatic),19.9,1355.1,,,Baixa,Média
0121snyrk,0.0,male,0,0,0,50,0,0,dsl,Yes,0,0,1,0,0,one year,1,mailed check,35.4,1748.9,,,Baixa,Média
0122oahpz,1.0,female,0,0,0,7,1,1,fiber optic,No,0,0,0,0,0,month to month,1,electronic check,73.85,511.25,,,Média,Baixa
0123crbrt,0.0,female,0,1,1,61,1,1,dsl,Yes,1,1,1,1,1,two year,0,mailed check,88.1,5526.75,,,Alta,Alta
0125lzqxk,1.0,male,0,0,0,15,1,0,fiber optic,No,0,1,1,1,1,month to month,1,electronic check,101.35,1553.95,,,Alta,Média
0128mkwsg,0.0,female,0,0,1,26,0,0,dsl,Yes,0,0,1,0,1,month to month,0,mailed check,45.8,1147.0,,,Média,Média
0129kptwj,0.0,male,0,1,0,72,1,0,fiber optic,No,0,1,0,1,1,month to month,1,electronic check,94.65,6747.35,,,Alta,Alta
0129qmpdr,0.0,male,0,1,1,44,1,0,no,No internet service,0,0,0,0,0,one year,1,bank transfer (automatic),20.5,865.05,,,Baixa,Baixa
0130sxoun,0.0,male,0,0,0,66,1,1,fiber optic,No,1,0,0,0,1,month to month,0,credit card (automatic),89.4,5976.9,,,Alta,Alta
0133bmfzo,1.0,female,0,0,0,2,1,0,fiber optic,Yes,1,0,1,0,0,month to month,1,electronic check,86.25,181.65,,,Alta,Baixa
0134xwxce,0.0,female,1,0,0,44,1,0,dsl,No,0,1,1,1,1,one year,0,bank transfer (automatic),74.85,3268.05,,,Média,Alta
0135nmxap,1.0,female,0,0,0,12,1,1,fiber optic,No,1,0,0,1,0,month to month,1,bank transfer (automatic),89.75,1052.4,,,Alta,Média
0136ifmyd,0.0,male,1,1,0,69,1,1,fiber optic,No,1,1,1,1,1,two year,1,electronic check,109.95,7634.25,,,Alta,Alta
0137ocgab,1.0,female,0,0,0,1,1,1,fiber optic,No,1,0,0,0,0,month to month,1,mailed check,80.2,80.2,,,Alta,Baixa
0137udeuo,1.0,female,0,0,0,3,1,0,no,No internet service,0,0,0,0,0,month to month,0,mailed check,19.85,63.75,,,Baixa,Baixa
0139ivfjg,0.0,female,0,1,0,2,1,0,fiber optic,Yes,1,0,0,1,0,month to month,0,electronic check,90.35,190.5,,,Alta,Baixa
0141yeays,0.0,female,1,0,0,27,1,1,fiber optic,No,1,1,0,0,0,month to month,1,bank transfer (automatic),86.45,2401.05,,,Alta,Alta
0142gvysn,0.0,male,0,0,0,26,1,0,no,No internet service,0,0,0,0,0,month to month,1,electronic check,20.3,511.25,,,Baixa,Baixa
0147eswwr,0.0,female,1,1,0,39,1,1,fiber optic,No,0,0,1,1,1,month to month,1,electronic check,101.25,3949.15,,,Alta,Alta
0148dcdos,1.0,male,0,0,0,25,1,1,fiber optic,No,0,0,0,1,1,month to month,1,bank transfer (automatic),94.7,2362.1,,,Alta,Alta
0151ontov,1.0,female,0,0,0,1,1,0,fiber optic,No,0,0,0,0,0,month to month,0,mailed check,70.9,70.9,,,Média,Baixa
0154qyhju,,male,0,0,0,29,1,0,dsl,Yes,1,0,1,0,0,one year,1,electronic check,58.75,1696.2,,,Média,Média
0156fvpta,1.0,male,0,1,0,22,1,0,dsl,Yes,0,0,1,0,0,month to month,1,electronic check,54.2,1152.7,,,Média,Média
0162rzgmz,,female,1,0,0,5,1,0,dsl,Yes,1,0,1,0,0,month to month,0,credit card (automatic),59.9,287.85,,,Média,Baixa
0164apgrb,0.0,female,0,0,0,72,1,1,fiber optic,Yes,1,1,1,1,1,two year,1,electronic check,114.9,8496.7,,,Alta,Alta
0164xairp,0.0,female,0,0,0,24,1,0,no,No internet service,0,0,0,0,0,two year,1,bank transfer (automatic),19.55,470.2,,,Baixa,Baixa
0168xzkbb,0.0,female,0,1,0,19,1,1,fiber optic,No,0,0,0,1,0,month to month,1,electronic check,86.85,1564.4,,,Alta,Média
0174qrvvy,0.0,male,0,1,1,71,1,1,no,No internet service,0,0,0,0,0,two year,0,credit card (automatic),25.35,1847.55,,,Baixa,Média
0177pxbat,0.0,male,1,1,0,33,1,1,fiber optic,Yes,0,1,1,1,1,month to month,1,bank transfer (automatic),109.9,3694.7,,,Alta,Alta
0178ciikr,0.0,female,0,0,0,3,1,0,no,No internet service,0,0,0,0,0,month to month,0,mailed check,19.95,58.0,,,Baixa,Baixa
0178szbho,0.0,male,0,1,1,47,1,1,fiber optic,No,1,0,0,1,0,month to month,0,electronic check,87.2,4017.45,,,Alta,Alta
0181ritdd,0.0,male,0,1,1,62,1,0,fiber optic,Yes,1,1,1,1,1,two year,0,mailed check,108.15,6825.65,,,Alta,Alta
0186caerr,0.0,male,0,0,0,71,1,1,fiber optic,Yes,1,1,1,1,1,one year,1,bank transfer (automatic),116.3,8309.55,,,Alta,Alta
0187qsxoe,0.0,male,1,1,0,7,1,0,fiber optic,No,0,0,0,1,1,month to month,1,electronic check,89.0,605.45,,,Alta,Baixa
0187wznab,0.0,female,0,1,1,27,1,0,fiber optic,Yes,0,0,0,0,0,month to month,0,mailed check,74.4,1972.35,,,Média,Média
0188gwfle,0.0,male,0,0,0,2,1,0,no,No internet service,0,0,0,0,0,month to month,0,mailed check,20.05,33.7,,,Baixa,Baixa
0191equuh,0.0,female,0,0,1,25,0,0,dsl,Yes,0,0,1,0,0,two year,0,bank transfer (automatic),35.05,844.45,,,Baixa,Baixa
0191zhskz,0.0,male,1,0,0,30,1,0,dsl,Yes,1,0,0,1,1,month to month,1,electronic check,74.75,2111.3,,,Média,Alta
0193eszxp,1.0,female,1,1,0,58,1,0,fiber optic,Yes,1,0,1,1,1,one year,1,credit card (automatic),105.5,6205.5,,,Alta,Alta
0195iescp,1.0,male,0,1,0,10,1,1,fiber optic,No,0,0,0,0,1,month to month,1,electronic check,85.25,855.3,,,Alta,Baixa
0196jtuqi,0.0,female,0,0,0,9,1,1,fiber optic,No,0,0,0,0,0,month to month,1,credit card (automatic),75.2,633.85,,,Média,Baixa
0196vulgz,1.0,female,1,1,0,6,1,1,fiber optic,No,0,0,0,0,1,month to month,1,electronic check,84.35,474.9,,,Alta,Baixa
0197pnknk,0.0,female,0,1,1,69,1,1,fiber optic,Yes,0,1,0,0,0,one year,0,bank transfer (automatic),84.45,5848.6,,,Alta,Alta
0201mibol,0.0,female,1,0,0,66,1,1,fiber optic,Yes,0,0,0,1,1,two year,1,bank transfer (automatic),102.4,6471.85,,,Alta,Alta
0201oamxr,1.0,female,0,0,0,70,1,1,fiber optic,Yes,1,1,1,1,1,one year,0,credit card (automatic),115.55,8127.6,,,Alta,Alta
0203hhyij,1.0,male,0,0,0,25,1,1,no,No internet service,0,0,0,0,0,one year,0,bank transfer (automatic),25.3,676.35,,,Baixa,Baixa
0206oyvoc,0.0,female,0,1,1,46,1,0,no,No internet service,0,0,0,0,0,two year,1,mailed check,19.25,864.2,,,Baixa,Baixa
0206tbwlc,0.0,female,0,1,0,54,1,1,fiber optic,Yes,1,1,1,1,1,one year,1,mailed check,114.65,6049.5,,,Alta,Alta
0207mdknv,1.0,female,0,0,0,15,1,0,fiber optic,Yes,0,1,1,1,1,month to month,0,electronic check,105.1,1582.75,,,Alta,Média
0208bpqej,0.0,female,0,1,1,12,1,0,no,No internet service,0,0,0,0,0,month to month,0,bank transfer (automatic),19.4,198.1,,,Baixa,Baixa
0212isbbf,0.0,female,0,0,0,22,0,0,dsl,No,1,0,0,1,1,month to month,1,electronic check,50.35,1098.85,,,Média,Média
0214jhpfw,0.0,female,0,1,0,70,0,0,dsl,No,1,1,1,1,1,two year,0,bank transfer (automatic),57.8,4039.3,,,Média,Alta
0215bqkgs,0.0,male,0,0,0,30,1,0,fiber optic,Yes,1,1,0,0,0,month to month,1,credit card (automatic),84.3,2438.6,,,Alta,Alta
0218qnvas,0.0,male,0,1,1,71,1,1,fiber optic,No,1,0,0,1,1,one year,0,bank transfer (automatic),100.55,7113.75,,,Alta,Alta
0219qaerp,0.0,male,0,1,0,30,1,0,no,No internet service,0,0,0,0,0,one year,0,credit card (automatic),19.8,576.65,,,Baixa,Baixa
0219ytzue,1.0,male,0,1,1,4,1,1,fiber optic,No,1,1,0,0,0,month to month,1,bank transfer (automatic),84.8,371.9,,,Alta,Baixa
0220ebgce,1.0,male,0,0,0,2,1,0,fiber optic,No,0,1,0,0,1,month to month,1,electronic check,85.85,167.3,,,Alta,Baixa
0221nauxk,0.0,male,0,0,1,10,1,0,no,No internet service,0,0,0,0,0,one year,1,bank transfer (automatic),19.95,219.5,,,Baixa,Baixa
0221wmxnq,0.0,male,1,0,0,4,1,0,fiber optic,Yes,0,0,0,0,0,month to month,0,electronic check,75.35,273.4,,,Média,Baixa
0222cnvpt,0.0,male,1,0,0,52,0,0,dsl,Yes,0,0,0,1,1,month to month,1,credit card (automatic),48.8,2555.05,,,Média,Alta
0224hjapt,1.0,male,0,0,0,5,1,1,dsl,No,0,0,0,0,0,month to month,0,electronic check,47.15,223.15,,,Média,Baixa
0224nijlp,0.0,male,0,1,1,8,1,0,no,No internet service,0,0,0,0,0,two year,0,mailed check,20.15,165.5,,,Baixa,Baixa
0224rlwwd,0.0,female,1,0,0,2,1,0,dsl,No,0,0,0,0,0,month to month,1,electronic check,44.3,89.3,,,Média,Baixa
0225zorzp,0.0,male,0,0,0,3,1,0,fiber optic,No,1,0,0,0,1,month to month,0,electronic check,84.3,235.05,,,Alta,Baixa
0228mauwc,0.0,male,0,0,0,19,1,1,dsl,No,0,1,1,0,0,month to month,0,electronic check,59.55,1144.6,,,Média,Média
0229lfjaf,0.0,male,0,0,0,72,1,1,dsl,Yes,1,1,1,0,0,two year,0,bank transfer (automatic),69.65,4908.25,,,Média,Alta
0230ubypq,0.0,male,1,1,0,63,0,0,dsl,Yes,0,0,1,0,0,one year,0,bank transfer (automatic),36.1,2298.9,,,Baixa,Alta
0230wequw,0.0,male,0,1,0,66,0,0,dsl,Yes,1,1,1,1,0,two year,1,bank transfer (automatic),56.6,3789.2,,,Média,Alta
0231lxvap,1.0,male,0,0,0,1,1,0,fiber optic,No,0,0,1,0,0,month to month,1,electronic check,75.9,75.9,,,Média,Baixa
0233fthav,0.0,female,0,0,0,60,1,1,fiber optic,No,0,1,0,0,0,one year,1,bank transfer (automatic),79.2,4765.0,,,Média,Alta
0234tevtt,0.0,female,0,1,1,48,0,0,dsl,Yes,0,1,0,0,1,one year,0,credit card (automatic),45.0,2196.3,,,Média,Alta
0235kgslc,1.0,female,0,0,0,1,1,0,fiber optic,No,0,1,0,1,0,month to month,1,credit card (automatic),85.55,85.55,,,Alta,Baixa
0236hfwsv,1.0,male,0,0,0,15,1,1,fiber optic,No,0,0,0,1,1,month to month,1,electronic check,93.35,1444.65,,,Alta,Média
0237yfutl,0.0,female,0,1,0,50,1,1,fiber optic,Yes,1,0,1,1,1,month to month,1,bank transfer (automatic),109.65,5405.8,,,Alta,Alta
0238whbiq,0.0,male,0,1,1,72,1,1,dsl,Yes,1,1,1,1,1,two year,0,credit card (automatic),89.7,6339.3,,,Alta,Alta
0239oxexl,0.0,female,0,0,0,46,1,1,fiber optic,Yes,1,0,0,0,0,month to month,0,mailed check,84.25,3847.6,,,Alta,Alta
0244lgnfy,0.0,female,0,1,1,72,1,1,dsl,Yes,1,1,1,1,1,two year,0,bank transfer (automatic),92.65,6733.0,,,Alta,Alta
0247sluji,0.0,male,0,1,1,1,1,0,no,No internet service,0,0,0,0,0,month to month,0,mailed check,19.7,19.7,,,Baixa,Baixa
0248ipdfw,0.0,female,0,0,0,1,1,1,dsl,No,0,0,0,0,0,month to month,1,electronic check,50.1,50.1,,,Média,Baixa
0248pghbz,0.0,female,1,0,0,67,1,0,fiber optic,Yes,1,0,1,1,0,two year,1,bank transfer (automatic),92.45,6140.85,,,Alta,Alta
0253zteob,0.0,female,0,1,1,48,1,1,dsl,No,1,0,1,1,1,two year,0,electronic check,79.65,3870.3,,,Média,Alta
0254fnmci,0.0,female,0,0,0,72,1,0,fiber optic,Yes,1,1,1,1,1,two year,1,electronic check,109.9,7624.2,,,Alta,Alta
0254kcjgt,0.0,male,0,1,0,52,1,1,dsl,Yes,1,1,1,0,1,one year,1,credit card (automatic),81.4,4354.45,,,Alta,Alta
0254wwrkd,0.0,female,0,1,1,67,1,0,dsl,No,1,0,0,0,0,one year,0,credit card (automatic),50.55,3431.75,,,Média,Alta
0256lthvj,1.0,female,0,1,1,28,1,0,fiber optic,No,0,0,0,0,1,month to month,1,electronic check,81.05,2227.1,,,Alta,Alta
0257kxzgu,0.0,female,0,1,1,32,1,1,dsl,No,1,1,0,0,0,month to month,0,bank transfer (automatic),62.45,2045.55,,,Média,Alta
0257zesqc,1.0,female,1,1,0,27,1,0,fiber optic,Yes,0,0,0,0,0,month to month,1,bank transfer (automatic),75.2,1929.35,,,Média,Média
0258nokbl,0.0,male,0,0,0,3,1,0,fiber optic,No,1,1,0,0,1,month to month,0,electronic check,90.4,268.45,,,Alta,Baixa
0259gbzsh,1.0,male,0,0,0,2,1,1,fiber optic,No,0,0,0,1,0,month to month,1,electronic check,85.65,181.5,,,Alta,Baixa
0260zdlgk,1.0,female,0,0,1,9,1,0,dsl,No,0,1,1,1,1,month to month,1,mailed check,72.9,651.4,,,Média,Baixa
0263fjtqo,0.0,male,0,1,1,50,1,1,dsl,Yes,0,0,1,1,0,two year,1,credit card (automatic),70.5,3486.65,,,Média,Alta
0264cnitk,0.0,female,0,1,1,71,1,0,no,No internet service,0,0,0,0,0,two year,0,bank transfer (automatic),20.1,1389.6,,,Baixa,Média
0265edxbd,1.0,male,1,1,0,32,1,1,fiber optic,No,0,0,0,0,0,month to month,1,electronic check,74.9,2303.35,,,Média,Alta
0265psuae,0.0,female,0,1,1,16,1,0,fiber optic,Yes,0,1,0,1,1,month to month,0,bank transfer (automatic),100.7,1522.7,,,Alta,Média
0266clzkz,0.0,female,0,1,1,67,1,1,fiber optic,No,0,1,1,1,1,two year,1,bank transfer (automatic),105.65,6717.9,,,Alta,Alta
0266gmeao,0.0,male,0,1,1,72,1,1,fiber optic,Yes,1,1,1,1,1,two year,1,credit card (automatic),114.3,8058.55,,,Alta,Alta
0268qkiwo,1.0,female,0,0,0,3,1,0,no,No internet service,0,0,0,0,0,month to month,0,electronic check,19.75,58.85,,,Baixa,Baixa
0269xfesx,0.0,male,0,1,1,23,1,1,no,No internet service,0,0,0,0,0,one year,0,mailed check,24.35,538.5,,,Baixa,Baixa
0270thenm,0.0,male,0,1,1,72,1,1,dsl,Yes,1,1,1,0,0,two year,0,bank transfer (automatic),69.85,5102.35,,,Média,Alta
0274jkujr,0.0,male,0,1,1,7,0,0,dsl,Yes,1,1,0,1,1,month to month,0,mailed check,58.85,465.7,,,Média,Baixa
0274vvqoq,,male,1,1,0,65,1,1,fiber optic,No,1,1,0,1,1,one year,1,bank transfer (automatic),103.15,6792.45,,,Alta,Alta
0277bksqp,0.0,male,0,1,1,8,1,0,dsl,No,0,0,0,1,0,month to month,1,electronic check,54.4,475.1,,,Média,Baixa
0277orxqs,0.0,male,0,1,1,66,0,0,dsl,No,0,0,1,1,1,two year,0,bank transfer (automatic),50.55,3364.55,,,Média,Alta
0278yxoog,1.0,male,0,0,0,5,1,0,no,No internet service,0,0,0,0,0,month to month,0,mailed check,21.05,113.85,,,Baixa,Baixa
0280xjgex,1.0,male,0,0,0,49,1,1,fiber optic,No,1,1,0,1,1,month to month,1,bank transfer (automatic),103.7,5036.3,,,Alta,Alta
0281cntzx,0.0,male,0,1,0,63,1,0,no,No internet service,0,0,0,0,0,two year,1,bank transfer (automatic),19.95,1234.8,,,Baixa,Média
0282nvsjs,0.0,female,1,1,1,12,0,0,dsl,No,0,0,1,0,0,month to month,1,mailed check,29.3,355.9,,,Baixa,Baixa
0285inhln,0.0,male,0,1,1,27,1,0,dsl,Yes,1,0,0,0,0,month to month,1,credit card (automatic),54.75,1510.3,,,Média,Média
0289ivarm,0.0,female,0,0,0,35,1,0,dsl,Yes,1,1,0,0,0,month to month,0,electronic check,60.55,1982.6,,,Média,Média
